date, Population, Annual Change
12/31/1950,1452000,
12/31/1951,1544000,6.34
12/31/1952,1641000,6.28
12/31/1953,1745000,6.34
12/31/1954,1855000,6.3
12/31/1955,1972000,6.31
12/31/1956,2097000,6.34
12/31/1957,2229000,6.29
12/31/1958,2370000,6.33
12/31/1959,2519000,6.29
12/31/1960,2679000,6.35
12/31/1961,2848000,6.31
12/31/1962,2974000,4.42
12/31/1963,3078000,3.5
12/31/1964,3186000,3.51
12/31/1965,3297000,3.48
12/31/1966,3412000,3.49
12/31/1967,3532000,3.52
12/31/1968,3655000,3.48
12/31/1969,3783000,3.5
12/31/1970,3915000,3.49
12/31/1971,4052000,3.5
12/31/1972,4224000,4.24
12/31/1973,4412000,4.45
12/31/1974,4608000,4.44
12/31/1975,4813000,4.45
12/31/1976,5028000,4.47
12/31/1977,5251000,4.44
12/31/1978,5485000,4.46
12/31/1979,5729000,4.45
12/31/1980,5984000,4.45
12/31/1981,6197000,3.56
12/31/1982,6391000,3.13
12/31/1983,6591000,3.13
12/31/1984,6797000,3.13
12/31/1985,7009000,3.12
12/31/1986,7228000,3.12
12/31/1987,7454000,3.13
12/31/1988,7687000,3.13
12/31/1989,7927000,3.12
12/31/1990,8175000,3.13
12/31/1991,8268000,1.14
12/31/1992,8282000,0.17
12/31/1993,8295000,0.16
12/31/1994,8308000,0.16
12/31/1995,8322000,0.17
12/31/1996,8335000,0.16
12/31/1997,8349000,0.17
12/31/1998,8362000,0.16
12/31/1999,8376000,0.17
12/31/2000,8390000,0.17
12/31/2001,8506000,1.38
12/31/2002,8624000,1.39
12/31/2003,8744000,1.39
12/31/2004,8865000,1.38
12/31/2005,8988000,1.39
12/31/2006,9113000,1.39
12/31/2007,9240000,1.39
12/31/2008,9368000,1.39
12/31/2009,9498000,1.39
12/31/2010,9626000,1.35
12/31/2011,9733000,1.11
12/31/2012,9841000,1.11
12/31/2013,9951000,1.12
12/31/2014,10061000,1.11
12/31/2015,10173000,1.11
12/31/2016,10287000,1.12
12/31/2017,10401000,1.11
12/31/2018,10517000,1.12
12/31/2019,10639000,1.16
12/31/2020,10770000,1.23
12/31/2021,10915000,1.35
12/31/2022,11075000,1.47
12/31/2023,11249000,1.57
12/31/2024,11436000,1.66
12/31/2025,11634000,1.73
12/31/2026,11840000,1.77
12/31/2027,12051000,1.78
12/31/2028,12263000,1.76
12/31/2029,12476000,1.74
12/31/2030,12687000,1.69
12/31/2031,12895000,1.64
12/31/2032,13099000,1.58
12/31/2033,13300000,1.53
12/31/2034,13496000,1.47
12/31/2035,13688000,1.42
